,Event,Dates,Location,Description
3647,"Garden Lights, Holiday Nights",2023-01-08,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3648,Skate the Station,2023-01-08,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3649,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-08,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3650,Deana Lawson Exhibit,2023-01-08,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3651,The Rink at Park Tavern,2023-01-08,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3652,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-08,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3653,Atlanta Gladiators vs. Savannah Ghost Pirates,2023-01-08,Gas South Arena,
3654,Midtown Atlanta Food and Cocktail Tour,2023-01-08,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3655,Igloos on the Roof,2023-01-08,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3656,Harry Potter: The Exhibition,2023-01-08,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3657,Stephen Burks Shelter in Place,2023-01-08,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3658,Sunday Spiritual Festival,2023-01-08,Krishna Life Temple and Monastery,"Come and experience the association of practicing monks. Meditate, Dance, hear words of wisdom and…"
3659,PAW Patrol: Adventure Play,2023-01-08,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3660,Igloos on The Roof,2023-01-08,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3661,WildWoods AGLOW,2023-01-08,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3662,Skate the Sky,2023-01-08,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3663,The Colors of Peace Exhibit,2023-01-08,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3664,Skate the Station,2023-01-09,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3665,WildWoods AGLOW,2023-01-09,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3666,Skate the Sky,2023-01-09,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3667,The Rink at Park Tavern,2023-01-09,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3668,"Garden Lights, Holiday Nights",2023-01-09,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3669,Harry Potter: The Exhibition,2023-01-09,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3670,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-09,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3671,The Colors of Peace Exhibit,2023-01-09,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3672,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-09,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3673,Deana Lawson Exhibit,2023-01-10,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3674,The Rink at Park Tavern,2023-01-10,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3675,Skate the Station,2023-01-10,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3676,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-10,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3677,Harry Potter: The Exhibition,2023-01-10,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3678,Stephen Burks Shelter in Place,2023-01-10,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3679,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-10,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3680,WildWoods AGLOW,2023-01-10,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3681,The Colors of Peace Exhibit,2023-01-10,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3682,"Garden Lights, Holiday Nights",2023-01-10,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3683,Harry Potter Trivia Series,2023-01-10,Best End Brewery,Each month we quiz fans over one book from the Harry Potter series. Try our…
3684,Stephen Burks Shelter in Place,2023-01-11,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3685,WildWoods AGLOW,2023-01-11,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3686,The Colors of Peace Exhibit,2023-01-11,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3687,"Garden Lights, Holiday Nights",2023-01-11,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3688,Skate the Station,2023-01-11,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3689,Deana Lawson Exhibit,2023-01-11,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3690,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-11,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3691,NBA Atlanta Hawks vs. Milwaukee Bucks,2023-01-11,State Farm Arena,Come cheer on the Atlanta Hawks as they take on the Milwaukee Bucks on January…
3692,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-11,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3693,The Rink at Park Tavern,2023-01-11,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3694,Harry Potter: The Exhibition,2023-01-11,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3695,Midtown Atlanta Food and Cocktail Tour,2023-01-12,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3696,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-12,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3697,Winter Farmers Market,2023-01-12,Market Pavilion,We have so much more than produce. Fill your market basket with goods from our…
3698,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-12,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3699,Harry Potter: The Exhibition,2023-01-12,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3700,Discover Boating Atlanta Boat Show,2023-01-12,Georgia World Congress Center,"The 2023 Discover Boating Atlanta Boat Show, in partnership with Progressive® Insurance, returns this January…"
3701,Skate the Station,2023-01-12,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3702,"Garden Lights, Holiday Nights",2023-01-12,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3703,The Rink at Park Tavern,2023-01-12,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3704,WildWoods AGLOW,2023-01-12,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3705,Stephen Burks Shelter in Place,2023-01-12,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3706,The Colors of Peace Exhibit,2023-01-12,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3707,Deana Lawson Exhibit,2023-01-12,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3708,Frankie Valli & The Four Seasons,2023-01-13,Cobb Energy Performing Arts Centre,"The original Jersey boy himself, Frankie Valli is a true American legend. His incredible career…"
3709,Illuminights at the Zoo: Chinese Lantern Festival,2023-01-13,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3710,"Garden Lights, Holiday Nights",2023-01-13,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3711,The Rink at Park Tavern,2023-01-13,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3712,The Colors of Peace Exhibit,2023-01-13,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3713,Discover Boating Atlanta Boat Show,2023-01-13,Georgia World Congress Center,"The 2023 Discover Boating Atlanta Boat Show, in partnership with Progressive® Insurance, returns this January…"
3714,Midtown Atlanta Food and Cocktail Tour,2023-01-13,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3715,Stephen Burks Shelter in Place,2023-01-13,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3716,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-13,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3717,Skate the Station,2023-01-13,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3718,Deana Lawson Exhibit,2023-01-13,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3719,Harry Potter: The Exhibition,2023-01-13,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3720,WildWoods AGLOW,2023-01-13,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3721,"Garden Lights, Holiday Nights",2023-01-14,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3722,Stephen Burks Shelter in Place,2023-01-14,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3723,The Colors of Peace Exhibit,2023-01-14,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3724,The Rink at Park Tavern,2023-01-14,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3725,Skate the Station,2023-01-14,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3726,WildWoods AGLOW,2023-01-14,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3727,Taylor Tomlinson – The Have It All Tour,2023-01-14,Cobb Energy Performing Arts Centre,"The New York Times opines, comedian Taylor Tomlinson “demonstrates tight joke writing, carefully honed act-outs…"
