,Event,Dates,Location,Description
3685,Atlanta Gladiators vs. Norfolk Admirals,2022-12-30,Gas South Arena,Come cheer on the Atlanta Gladiators as they take on the Norfolk Admirals at Gas…
3686,Rainbow Kitten Surprise Live In Concert,2022-12-30,The Eastern,
3687,Rudolph the Red-Nosed Reindeer,2022-12-30,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3688,Igloos on the Roof,2022-12-30,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3689,Celebration at the Station,2022-12-30,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3690,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-30,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3691,The Colors of Peace Exhibit,2022-12-30,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3692,PAW Patrol: Adventure Play,2022-12-30,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3693,Indigo Girls,2022-12-30,Atlanta Symphony Hall,Folk rock music duo Indigo Girls & The Atlanta Symphony Orchestra will perform live at…
3694,Winter Wonderland at Fernbank,2022-12-30,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3695,Holiday in the Park,2022-12-30,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3696,Mingle & Jingle Christmas Bar,2022-12-30,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3697,Skate the Sky,2022-12-30,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3698,Waking Wonderland: An Immersive Experience,2022-12-30,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3699,Stephen Burks Shelter in Place,2022-12-30,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3700,Stranger Things: The Experience,2022-12-30,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3701,"Garden Lights, Holiday Nights",2022-12-30,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3702,The Rink at Park Tavern,2022-12-30,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3703,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-30,Chick-fil-A College Football Hall of Fame,
3704,Claude Monet Immersive Exhibit,2022-12-30,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3705,World of Illumination,2022-12-30,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3706,The Veranda Jewel Box,2022-12-30,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3707,Reindeer Road by World of Illumination,2022-12-30,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3708,Igloos on The Roof,2022-12-30,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3709,Winter Safari Camp,2022-12-30,Zoo Atlanta,We are here to engage and excite your young learners ages 5-11 during Winter Break!…
3710,Skate the Station,2022-12-30,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3711,Holiday Lights at Brook Run Park,2022-12-30,Brook Run Park,
3712,Giant Panda Wild Encounter,2022-12-31,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
3713,Rudolph the Red-Nosed Reindeer,2022-12-31,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
3714,The Rink at Park Tavern,2022-12-31,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3715,Midtown Atlanta Food and Cocktail Tour,2022-12-31,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
3716,Rainbow Kitten Surprise Live In Concert,2022-12-31,The Eastern,
3717,Waking Wonderland: An Immersive Experience,2022-12-31,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
3718,Shine Light Show at Coolray Field,2022-12-31,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
3719,Igloos on the Roof,2022-12-31,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3720,Celebration at the Station,2022-12-31,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3721,WildWoods AGLOW,2022-12-31,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
3722,Claude Monet Immersive Exhibit,2022-12-31,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
3723,Chick-fil-a Peach Bowl 2022,2022-12-31,Mercedes-Benz Stadium,
3724,The Veranda Jewel Box,2022-12-31,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
3725,World of Illumination,2022-12-31,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3726,PAW Patrol: Adventure Play,2022-12-31,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3727,Holiday Lights at Brook Run Park,2022-12-31,Brook Run Park,
3728,Stephen Burks Shelter in Place,2022-12-31,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
3729,The Colors of Peace Exhibit,2022-12-31,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3730,Atlanta Gladiators vs. Norfolk Admirals,2022-12-31,Gas South Arena,Come cheer on the Atlanta Gladiators as they take on the Norfolk Admirals at Gas…
3731,Igloos on The Roof,2022-12-31,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3732,Atlanta Brewery Tour,2022-12-31,Iron Hill Brewery – Buckhead,Tour by Southern Culinary Tours! Join us as we visit three of Atlanta’s best breweries….
3733,Deana Lawson Exhibit,2022-12-31,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3734,Winter Wonderland at Fernbank,2022-12-31,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
3735,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-31,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
3736,Stranger Things: The Experience,2022-12-31,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
3737,Reindeer Road by World of Illumination,2022-12-31,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3738,"Garden Lights, Holiday Nights",2022-12-31,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3739,Mingle & Jingle Christmas Bar,2022-12-31,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
3740,Noon Year’s Eve Celebration on the Roof,2022-12-31,Ponce City Market,Save the date for The Roof’s annual Noon Year’s Eve celebration! Skyline Park will host…
3741,Harry Potter: The Exhibition,2022-12-31,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3742,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-31,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3743,All-Inclusive NYE Party with Electric Avenue,2022-12-31,Park Tavern,"Ring in the New Year with Electric Avenue, The 80’s MTV Experience NYE at the…"
3744,Umphreys McGee,2022-12-31,Coca-Cola Roxy,"Progressive jammers Umphrey’s McGee will perform live at Coca-Cola Roxy on Dec 30-31, 2022."
3745,Elephant Wild Encounter,2022-12-31,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
3746,Indigo Girls,2022-12-31,Atlanta Symphony Hall,Folk rock music duo Indigo Girls & The Atlanta Symphony Orchestra will perform live at…
3747,Skate the Sky,2022-12-31,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3748,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-31,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3749,Aldabra Tortoise Wild Encounter,2022-12-31,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
3750,Holiday in the Park,2022-12-31,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
3751,Skate the Station,2022-12-31,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3752,Holiday Catering with Grecian Gyro,2022-12-31,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
3753,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-31,Chick-fil-A College Football Hall of Fame,
3754,Reindeer Road by World of Illumination,2023-01-01,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
3755,The Colors of Peace Exhibit,2023-01-01,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
3756,Skate the Station,2023-01-01,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
3757,World of Illumination,2023-01-01,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
3758,Celebration at the Station,2023-01-01,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
3759,Igloos on the Roof,2023-01-01,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
3760,Harry Potter: The Exhibition,2023-01-01,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
3761,The Rink Powered By Pepsi Zero at Park Tavern,2023-01-01,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
3762,"Garden Lights, Holiday Nights",2023-01-01,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
3763,Atlanta Falcons vs. Arizona Cardinals – Jan. 1,2023-01-01,Mercedes-Benz Stadium,Come watch the Atlanta Falcons take on the Arizona Cardinals in an exciting NFL match-up…
3764,Igloos on The Roof,2023-01-01,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
3765,Deana Lawson Exhibit,2023-01-01,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
3766,PAW Patrol: Adventure Play,2023-01-01,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
3767,The Rink at Park Tavern,2023-01-01,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
3768,Skate the Sky,2023-01-01,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
3769,Nan Griffith’s Murmurations/Migrations Mixed Media,2023-01-01,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
3770,Midtown Atlanta Food and Cocktail Tour,2023-01-01,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
